"model","id","regime","chemistry","purity","mu_level","mu_pert","moi_level","moi"
"B","B__regime__a549_crispri_perturbseq_GSE236304","a549_crispri_perturbseq_GSE236304",NA,NA,"cal",95,"low",2.2
"B","B__regime__cd8_tcell_perturbcite_GSE279498","cd8_tcell_perturbcite_GSE279498",NA,NA,"cal",26,"low",2.3
"B","B__regime__dctap_k562_highmoi_GSE303901","dctap_k562_highmoi_GSE303901",NA,NA,"cal",197,"high",9.8
"B","B__regime__dctap_k562_lowmoi_GSE303901","dctap_k562_lowmoi_GSE303901",NA,NA,"cal",508,"low",1.3
"B","B__regime__endoc_t2d_perturbseq_GSE273677","endoc_t2d_perturbseq_GSE273677",NA,NA,"cal",223,"low",1.8
"B","B__regime__gastric_organoid_cropseq_GSE280506","gastric_organoid_cropseq_GSE280506",NA,NA,"cal",86,"low",1
"B","B__regime__invivo_cortex_perturbseq_GSE249416","invivo_cortex_perturbseq_GSE249416",NA,NA,"cal",365,"high",8.9
"B","B__regime__ipsc_crispri_hipsci_figshare27989294","ipsc_crispri_hipsci_figshare27989294",NA,NA,"cal",557,"low",0
"B","B__regime__perturb_multiome_erythroid_GSE274113","perturb_multiome_erythroid_GSE274113",NA,NA,"cal",26,"low",2.4
"B","B__regime__tcell_cd4_perturbseq_GSE314342","tcell_cd4_perturbseq_GSE314342",NA,NA,"cal",80,"low",0.1
"B","B__regime__gasperini","gasperini",NA,NA,"cal",21,"low",0.3
"B","B__regime__replogle","replogle",NA,NA,"cal",1106,"low",0.1
"B","B__regime__schraivogel","schraivogel",NA,NA,"cal",68,"low",1.8
